dataset,model_name,task_type,sens_heuristic_mean,sens_heuristic_std,sens_judge_mean,sens_judge_std,eas_mean,eas_std,mean_heuristic,mean_judge,stab_sem_mean,n_artifact,n_genuine,n_underdetected,n_stable,n_items,eas_ci_lo,eas_ci_hi,sh_ci_lo,sh_ci_hi,sj_ci_lo,sj_ci_hi
arc_challenge,gemma2:2b,mcq,0.048462266928849765,0.1431370839725251,0.15264531830967515,0.2180876380897731,0.12154500167065516,0.20025451551841225,0.690625,0.60625,,3,18,40,139,200,0.09457887809530126,0.15079297971445457,0.030311863972044245,0.06870112509991638,0.12341505095156725,0.18350482305022361
arc_challenge,gpt-4o,mcq,0.03352019767798233,0.11540358000956517,0.056275748759900865,0.1510180364665212,0.03779107434645073,0.12444963672229628,0.92625,0.913125,,7,9,11,173,200,0.020958971861718242,0.05475998420463022,0.018709000557698186,0.04899831190624014,0.03587991647772004,0.07618372614486284
arc_challenge,llama3.1:8b,mcq,0.10623009923881614,0.1876682923551251,0.2593445632184654,0.2165203288215413,0.17150081925440502,0.20399519138661903,0.745625,0.67375,,14,36,50,100,200,0.13961062371954955,0.1986032023037069,0.0811728507132574,0.1307382842405715,0.22875062850224975,0.2885172241217655
arc_challenge,llama3.2:1b,mcq,0.26316811565265613,0.23081278258983945,0.2816678114962633,0.2178601828311489,0.13085974048321172,0.1900869954562594,0.473125,0.35625,,36,79,21,64,200,0.1037371681137085,0.15838617993905443,0.23370338509590885,0.2976236993759302,0.25396554384243414,0.3112539756228346
arc_challenge,llama3.2:3b,mcq,0.09869267032405879,0.19093891739292587,0.20658005715951203,0.22691049302134242,0.1379650858665437,0.20623252354433036,0.680625,0.59125,,12,31,40,117,200,0.10832089849064495,0.1662530872645888,0.07162782408221545,0.1246383972399515,0.17354333249700477,0.240282986254843
arc_challenge,mistral-nemo:latest,mcq,0.07822041767576697,0.1746955463893396,0.14640863833801482,0.21914236812525809,0.11763156997679271,0.2010492801500861,0.741875,0.6375,,12,22,31,135,200,0.09126727179792024,0.14650982806661766,0.05565512691169782,0.10284428328750665,0.11618690982931863,0.17930739537058232
arc_challenge,mistral:instruct,mcq,0.072613121296156,0.16351151240532003,0.10135466639284592,0.17975166174445892,0.08881259162575429,0.17205474684871896,0.6675,0.565625,,23,11,16,150,200,0.06767352705371071,0.11196304802652998,0.052038322406628826,0.09503223007584102,0.07692289962707773,0.12610544131167156
arc_challenge,qwen2.5:3b,mcq,0.051610685250439776,0.14530581913105467,0.18343068601280943,0.2263153810223836,0.1435557209425145,0.2100032383437777,0.788125,0.708125,,6,17,50,127,200,0.11463461770762852,0.1735206545609925,0.03179588563593325,0.0721046596320235,0.15220702435102565,0.2158564990169076
arc_challenge,qwen2.5:7b,mcq,0.03381459827544611,0.1203155313285218,0.171133685750347,0.22278532967205655,0.1514093718904321,0.21481580053993465,0.885625,0.794375,,5,10,51,134,200,0.12166678395227161,0.17835322194792236,0.01739915993189184,0.05078940146705783,0.1401694580069095,0.20104051902941386
boolq,gemma2:2b,boolean,0.10229868663999232,0.19715464356471119,0.13338050809432894,0.2117918648830779,0.05399113072495294,0.14672801025196566,0.758125,0.738125,,9,34,15,142,200,0.03528798063653429,0.07518772423872629,0.07716092644143273,0.12921621487299492,0.10505256846009492,0.1607315772968904
